# Wavelength Temperature Relative_QE
886.0 -83.95 1.00992660363
889.0 -83.85 1.01467341929
893.0 -83.95 1.01622676482
897.0 -83.85 1.01928681174
902.0 -83.75 1.01724358725
906.0 -83.75 1.01795540138
910.0 -83.75 1.01439894333
914.0 -83.75 1.0187792245
918.0 -83.75 1.01747394509
922.0 -83.65 1.02478009324
926.0 -83.65 1.02614629136
930.0 -83.65 1.02890785558
934.0 -83.65 1.04059359954
938.0 -83.65 1.04557362774
942.0 -83.55 1.03632692445
946.0 -83.55 1.03213837787
950.0 -83.55 1.04380574562
954.0 -83.55 1.04812493314
958.0 -83.55 1.05627320781
962.0 -83.55 1.05925377819
966.0 -83.45 1.06062236167
970.0 -83.45 1.06047282424
974.0 -83.45 1.06985977935
978.0 -83.45 1.06963026641
982.0 -83.35 1.075772938
986.0 -83.35 1.08798004887
989.0 -83.35 1.09280554828
993.0 -83.35 1.0979853066
997.0 -83.35 1.10058486492
1002.0 -83.35 1.11074785362
1006.0 -83.35 1.11816337484
1010.0 -83.25 1.12779706412
1013.0 -83.25 1.12914247005
1018.0 -83.25 1.14650945861
1021.0 -83.15 1.15604486184
1026.0 -83.15 1.18297261763
1030.0 -83.15 1.21093213653
1033.0 -83.15 1.21894901345
1038.0 -83.15 1.24591354214
1041.0 -83.15 1.22700881151
1046.0 -83.15 1.24550210276
1050.0 -83.15 1.2612383349
1053.0 -83.15 1.28297854257
1058.0 -83.15 1.30315249167
1061.0 -83.05 1.31176018012
1066.0 -83.05 1.34341693664
1070.0 -83.05 1.35939074743
1074.0 -83.05 1.38148927796
1078.0 -83.05 1.40402356801
1082.0 -83.05 1.44449857352
1086.0 -82.95 1.46657631222
1090.0 -82.95 1.48135654912
1094.0 -82.95 1.48669309003
1098.0 -82.95 1.48300760043
